General_Release date,General_Battery capacity (mAh),General_Removable battery,Display_Refresh Rate,Display_Screen size (inches),Hardware_RAM,Hardware_Internal storage,Hardware_Expandable storage,Connectivity_NFC,camera_1_megapixel,camera_2_megapixel,camera_3_megapixel,camera_4_megapixel,camera_5_megapixel,num_cameras,front_camera_1_megapixel,front_camera_2_megapixel,num_front_cameras,Network_SIM_1,Network_SIM_2,General_Price in India
2022.0,4200.0,No,60,6.44,12.0,256.0,Unknown,Unknown,64,8,2,0,0,3,50,8,2,5G,4G,21990.0
2019.0,3400.0,No,60,6.1,8.0,128.0,Yes,Yes,12,12,16,0,0,3,10,0,1,4G,4G,29999.0
2022.0,5000.0,No,120,6.6,6.0,128.0,Yes,Unknown,108,8,2,0,0,3,16,0,1,4G,4G,11899.0
2022.0,5000.0,No,120,6.7,12.0,128.0,No,Unknown,50,48,12,0,0,3,8,0,1,Unknown,Unknown,44999.0
2022.0,4830.0,No,120,6.56,12.0,256.0,Unknown,No,64,8,2,0,0,3,32,0,1,Unknown,Unknown,24999.0
2024.0,5000.0,No,120,6.67,8.0,256.0,No,Yes,50,13,10,0,0,3,32,0,1,5G,5G,27372.0
2024.0,6000.0,Unknown,120,6.72,8.0,128.0,Yes,Unknown,50,2,0,0,0,2,8,0,1,Unknown,Unknown,14185.0
2023.0,4400.0,Unknown,60,7.6,12.0,1024.0,Unknown,Yes,50,12,10,0,0,3,10,4,2,5G,5G,154999.0
2024.0,5000.0,Unknown,90,6.56,8.0,128.0,Unknown,Unknown,50,2,0,0,0,2,8,0,1,Unknown,Unknown,16988.0
2018.0,2942.0,No,60,6.1,3.0,64.0,No,Yes,12,0,0,0,0,1,7,0,1,4G,4G,47899.0
2018.0,4230.0,Unknown,60,6.2,4.0,64.0,Yes,Unknown,13,2,0,0,0,2,8,0,1,4G,4G,10990.0
2024.0,5000.0,No,120,6.4,12.0,256.0,No,Yes,50,13,10,0,0,3,32,0,1,5G,5G,24188.0
2024.0,5000.0,Unknown,120,6.7,8.0,256.0,Unknown,Unknown,64,2,0,0,0,2,8,0,1,Unknown,Unknown,27499.0
2024.0,5000.0,No,90,6.56,4.0,64.0,Yes,Unknown,13,8,0,0,0,2,5,0,1,4G,4G,7999.0
2023.0,4700.0,No,120,6.7,12.0,512.0,No,Yes,50,50,0,0,0,2,32,0,1,Unknown,Unknown,37999.0
2024.0,5500.0,No,120,6.77,8.0,256.0,No,Unknown,50,8,0,0,0,2,16,0,1,Unknown,Unknown,26999.0
2024.0,5000.0,Unknown,120,6.7,12.0,256.0,Unknown,Unknown,50,50,0,0,0,2,32,0,1,Unknown,Unknown,22999.0
2019.0,3110.0,No,60,6.1,4.0,64.0,No,Yes,12,12,0,0,0,2,12,0,1,4G,4G,54900.0
2019.0,4030.0,Unknown,60,6.22,3.0,32.0,Yes,No,13,2,0,0,0,2,8,0,1,4G,4G,8960.0
2019.0,4030.0,Unknown,60,6.22,2.0,32.0,Yes,No,13,2,0,0,0,2,8,0,1,4G,4G,8960.0
2014.0,1810.0,No,60,4.7,1.0,16.0,No,Yes,8,0,0,0,0,1,2,0,1,Unknown,Unknown,15999.0
2021.0,7000.0,Unknown,60,6.7,8.0,128.0,Yes,Yes,64,12,5,5,0,4,32,0,1,4G,4G,21999.0
